Résumé,Clé de ticket,Type de ticket,État,Priorité,Rapporteur,Durée(mn),Création,Description,Champs personnalisés (Action menée),Canal,Entreprise,Utilisateur,Objet principal,Champs personnalisés (Module)
Assistance sur exécution de paiement.,OBCS-8508,Assistance,Terminé,Priorité 3,JOEL SIE,5,19/janv./25 13:49,Assistance sur exécution de paiement.,Explication en ligne,Appel Téléphonique,SIT BTP,,Assistance,
Signaler un bug sur l'affichage des bulletins.,OBCS-8507,Assistance,Terminé,Priorité 3,JOEL SIE,3,19/janv./25 13:47,Signaler un bug sur l'affichage des bulletins.,Redirection vers ressources OBC,Appel Téléphonique,LABOGEM,,Assistance,
Assistance sur la balance.,OBCS-8506,Assistance,Terminé,Priorité 3,JOEL SIE,7,19/janv./25 13:43,Assistance sur la balance.,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Regarder la balance générale afin de corriger les incohérences.,OBCS-8387,Assistance,Terminé,Priorité 3,JOEL SIE,1,11/janv./25 15:52,Regarder la balance générale afin de corriger les incohérences.,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance sur la balance tiers et la balance générale.,OBCS-8386,Assistance,Terminé,Priorité 3,JOEL SIE,5,11/janv./25 15:50,Assistance sur la balance tiers et la balance générale.,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Création du calendrier des mois.,OBCS-8385,Assistance,Terminé,Priorité 3,JOEL SIE,4,11/janv./25 15:47,Création du calendrier des mois.,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Création de l'exercice 2025 et le calendrier des mois.,OBCS-8384,Assistance,Terminé,Priorité 3,JOEL SIE,5,11/janv./25 15:44,Création de l'exercice 2025 et le calendrier des mois.,Explication en ligne,Appel Téléphonique,SIT BTP,,Assistance,
Programmation d'une des factures dont le motant du chèque est supérieur.,OBCS-8383,Assistance,Terminé,Priorité 3,JOEL SIE,26,11/janv./25 15:41,Programmation d'une des factures dont le motant du chèque est supérieur.,Explication en ligne,Appel Téléphonique,SIT BTP,,Assistance,
Modification du workflow de programmation suivi de la programmation de salaire.,OBCS-8382,Assistance,Terminé,Priorité 3,JOEL SIE,25,11/janv./25 15:37,Modification du workflow de programmation suivi de la programmation de salaire.,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance sur la programmation de la paie.,OBCS-8381,Assistance,Terminé,Priorité 3,JOEL SIE,5,11/janv./25 15:35,Assistance sur la programmation de la paie.,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance sur l'annulation de la paie de quelques salariés et reprendre.,OBCS-8380,Assistance,Terminé,Priorité 3,JOEL SIE,7,11/janv./25 15:33,Assistance sur l'annulation de la paie de quelques salariés et reprendre.,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance sur enregistrement d'une facture d'avoir.,OBCS-8313,Assistance,Terminé,Priorité 3,JOEL SIE,5,04/janv./25 16:13,Assistance sur enregistrement d'une facture d'avoir.,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance sur programmation de paiement.,OBCS-8312,Assistance,Terminé,Priorité 3,JOEL SIE,8,04/janv./25 16:11,Assistance sur programmation de paiement.,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance sur le worflow de l'entité CCL BENIN.,OBCS-8311,Assistance,Terminé,Priorité 3,JOEL SIE,6,04/janv./25 16:09,Assistance sur le worflow de l'entité CCL BENIN.,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
"Séance google meet une séance sur facture achat, programmation, paiement, opérations bancaires (note de débit/Crédit), rapprochement bancaire et importation des écritures comptable.",OBCS-8310,Assistance,Terminé,Priorité 3,JOEL SIE,205,04/janv./25 16:07,"Séance google meet une séance sur facture achat, programmation, paiement, opérations bancaires (note de débit/Crédit), rapprochement bancaire et importation des écritures comptable.",Explication en ligne,"Online (Google Meet, Teams...)",EDIPRESSE,,Assistance,
comment enregistrer une facture vente.,OBCS-8309,Assistance,Terminé,Priorité 3,JOEL SIE,16,04/janv./25 16:03,comment enregistrer une facture vente.,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance sur la création de la fiche article et enregistrement du stock initial.,OBCS-8308,Assistance,Terminé,Priorité 3,JOEL SIE,13,04/janv./25 16:02,Assistance sur la création de la fiche article et enregistrement du stock initial.,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance sur expression de besoin.,OBCS-8307,Assistance,Terminé,Priorité 3,JOEL SIE,6,04/janv./25 16:00,Assistance sur expression de besoin.,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
"Assistance sur la création, modification des comptes généraux et tiers dans le plan comptable.",OBCS-8306,Assistance,Terminé,Priorité 3,JOEL SIE,9,04/janv./25 15:59,"Assistance sur la création, modification des comptes généraux et tiers dans le plan comptable.",Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance sur les opérations de caisse.,OBCS-8305,Assistance,Terminé,Priorité 3,JOEL SIE,17,04/janv./25 15:56,Assistance sur les opérations de caisse.,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance sur retour de monnaie.,OBCS-8255,Assistance,Terminé,Priorité 3,JOEL SIE,5,28/déc./24 15:57,Assistance sur retour de monnaie.,Explication en ligne,Appel Téléphonique,SIT BTP,,Assistance,
Assistance pour la correction des dates de contrats.,OBCS-8254,Assistance,Terminé,Priorité 3,JOEL SIE,9,28/déc./24 15:52,Assistance pour la correction des dates de contrats.,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance la paie de Décembre qui générait un message d'erreur.,OBCS-8253,Assistance,Terminé,Priorité 3,JOEL SIE,7,28/déc./24 15:50,Assistance la paie de Décembre qui générait un message d'erreur.,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Importation du journal banque SGBCI 2024.,OBCS-8252,Assistance,Terminé,Priorité 3,JOEL SIE,6,28/déc./24 15:47,Importation du journal banque SGBCI 2024.,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
